シート種別,事業年度,予算事業ID,事業名,建制順,所管府省庁,府省庁,局・庁,部,課,室,班,係,その他担当組織_作成責任者_no,府省庁（その他担当組織）,局・庁（その他担当組織）,部（その他担当組織）,課（その他担当組織）,室（その他担当組織）,班（その他担当組織）,係（その他担当組織）,作成責任者
レビューシート,2024,1,内閣人事局経費,1,内閣官房,内閣官房,内閣人事局,,,,,,1,,,,,,,,山村和也
レビューシート,2024,4,情報システムの整備（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,戦略・組織,,政府ＤＸ担当,,,,1,デジタル庁,戦略・組織,,会計担当,,,,澁谷弘一
レビューシート,2024,4,情報システムの整備（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,戦略・組織,,政府ＤＸ担当,,,,2,,,,,,,,北間俊秀
レビューシート,2024,4,情報システムの整備（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,戦略・組織,,政府ＤＸ担当,,,,3,,,,,,,,杉本敬次
レビューシート,2024,7,マイナンバー制度の推進,13,デジタル庁,デジタル庁,国民向けサービス,,,マイナンバーカード広報班,,,1,,,,,,,,松田昇剛
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,1,デジタル庁,戦略・組織,,会計担当,,,,帆足雅史
レビューシート,2024,12,電子決裁システム（ＥＡＳＹ）（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,電子決裁システム担当,,,,1,デジタル庁,戦略・組織,,会計担当,,,,松下和正
レビューシート,2024,13,共通情報検索システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,ｅーＬＡＷＳ／共通情報検索システム担当,,,,1,デジタル庁,戦略・組織,,会計担当,,,,中野芳崇
レビューシート,2024,14,政府認証基盤（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,デジタル社会共通機能,,,トラスト担当　政府認証基盤（ＧＰＫＩ）班,,,1,デジタル庁,戦略・組織,,会計担当,,,,杉浦維勝
レビューシート,2024,15,電子政府の総合窓口システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,ｅーＧｏｖ班,,,1,デジタル庁,戦略・組織,,会計担当,,,,大塚祥央
レビューシート,2024,18,政府共通ネットワーク（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通ネットワーク担当,,,,1,デジタル庁,戦略・組織,,会計担当,,,,帆足雅史
レビューシート,2024,18,政府共通ネットワーク（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通ネットワーク担当,,,,2,,,,,,,,山本寛繁
レビューシート,2024,25,旅費等内部管理業務共通システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,旅費等内部管理業務共通システム担当,,,,1,デジタル庁,戦略・組織,,会計担当,,,,砂押英幸
レビューシート,2024,26,法人共通認証基盤（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,ＧビズＩＤ班,,,1,デジタル庁,戦略・組織,,会計担当,,,,大塚祥央
レビューシート,2024,27,補助金申請システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,Ｊグランツ班,,,1,デジタル庁,戦略・組織,,会計担当,,,,大塚祥央
レビューシート,2024,31,国土強靱化政策推進経費,1,内閣官房,内閣官房,副長官補付,,国土強靭化推進室,,,,1,,,,,,,,奥田誠子
レビューシート,2024,33,我が国の領土・主権に関する調査研究経費,1,内閣官房,内閣官房,副長官補付,,領土・主権対策企画調整室,,,,1,,,,,,,,上村秀紀
レビューシート,2024,34,健康・医療戦略の推進に必要な経費,1,内閣官房,内閣官房,副長官補付,,健康・医療戦略室,,,,1,,,,,,,,三浦聡
レビューシート,2024,35,水循環推進経費,1,内閣官房,内閣官房,副長官補付,,水循環政策本部事務局,,,,1,,,,,,,,二俣芳美
レビューシート,2024,35,水循環推進経費,1,内閣官房,内閣官房,副長官補付,,水循環政策本部事務局,,,,2,,,,,,,,田中敬也
レビューシート,2024,38,地方創生施策の充実・強化に向けた調査・分析事業,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,1,,,,,,,,小林剛也
レビューシート,2024,38,地方創生施策の充実・強化に向けた調査・分析事業,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,2,,,,,,,,鈴木健二
レビューシート,2024,38,地方創生施策の充実・強化に向けた調査・分析事業,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,3,,,,,,,,西内康
レビューシート,2024,38,地方創生施策の充実・強化に向けた調査・分析事業,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,4,,,,,,,,曽宮和夫
レビューシート,2024,38,地方創生施策の充実・強化に向けた調査・分析事業,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,5,,,,,,,,大瀧洋
レビューシート,2024,39,地域活性化推進経費,1,内閣官房,内閣官房,副長官補付,,産業遺産の世界遺産登録推進室担当,,,,1,,,,,,,,枝慶
レビューシート,2024,41,ギャンブル等依存症対策推進本部事務局経費,1,内閣官房,内閣官房,副長官補付,,ギャンブル等依存症対策推進本部事務局,,,,1,,,,,,,,岸本堅太郎
レビューシート,2024,42,新型コロナウイルス感染症対策に係る普及啓発の推進,1,内閣官房,内閣官房,内閣感染症危機管理統括庁,,,,,,1,,,,,,,,池上直樹
レビューシート,2024,43,スマートライフ実現のためのＡＩシミュレーション,1,内閣官房,内閣官房,内閣感染症危機管理統括庁,,,,,,1,,,,,,,,前間聡
レビューシート,2024,44,緊急事態に備えた調査・研究等経費,1,内閣官房,内閣官房,副長官補付（事態）,,,,,,1,,,,,,,,渡眞利諭
レビューシート,2024,44,緊急事態に備えた調査・研究等経費,1,内閣官房,内閣官房,副長官補付（事態）,,,,,,2,,,,,,,,矢作将人
レビューシート,2024,45,内閣広報経費,1,内閣官房,内閣官房,広報室,,,,,,1,,,,,,,,佐藤勇輔
レビューシート,2024,46,情報収集衛星の研究・開発,1,内閣官房,内閣官房,室,,室２,,,,1,,,,,,,,担当２０５
レビューシート,2024,47,サイバーセキュリティ戦略本部等経費,1,内閣官房,内閣官房,内閣サイバーセキュリティセンター,,,,,,1,,,,,,,,田村亮平
レビューシート,2024,48,内閣サイバーセキュリティセンター情報システム等経費,1,内閣官房,内閣官房,内閣サイバーセキュリティセンター,,,,,,1,,,,,,,,田村亮平
レビューシート,2024,49,人身安全関連事案対策の推進,7,警察庁,警察庁,警察庁,生活安全局,人身安全・少年課,,,,1,,,,,,,,土屋暁胤
レビューシート,2024,50,「魅力的な地域をつくる」ための先行事例調査・研究,1,内閣官房,内閣官房,副長官補付,,新しい地方経済・生活環境創生本部事務局,,,,1,,,,,,,,坂井元興
レビューシート,2024,56,マイキープラットフォーム関連システム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,国民向けサービス,,,カード自治体利用推進班,,,1,デジタル庁,戦略・組織,,会計担当,,,,上仮屋尚
レビューシート,2024,74,法人データ連携基盤（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,デジタル社会共通機能,,（旧）基準・標準担当,,ベースレジストリ班,,1,デジタル庁,戦略・組織,,会計担当,,,,杉浦維勝
レビューシート,2024,86,特定複合観光施設区域整備推進室経費,1,内閣官房,内閣官房,副長官補付,,特定複合観光施設区域整備推進室,,,,1,,,,,,,,阿部雄介
レビューシート,2024,87,地理空間情報活用推進経費,1,内閣官房,内閣官房,副長官補付,,地理空間情報活用推進室,,,,1,,,,,,,,矢吹周平
レビューシート,2024,88,国際博覧会推進本部経費,1,内閣官房,内閣官房,副長官補付,,国際博覧会推進本部事務局,,,,1,,,,,,,,川上敏寛
