シート種別,事業年度,予算事業ID,事業名,建制順,所管府省庁,府省庁,局・庁,部,課,室,班,係,その他担当組織_作成責任者_no,府省庁（その他担当組織）,局・庁（その他担当組織）,部（その他担当組織）,課（その他担当組織）,室（その他担当組織）,班（その他担当組織）,係（その他担当組織）,作成責任者
レビューシート,2024,89,孤独・孤立対策担当室経費,1,内閣官房,内閣官房,副長官補付,,孤独・孤立対策担当室,,,,1,内閣府,政策統括官（共生・共助担当）,,政策統括官（共生・共助担当）　孤独・孤立対策推進室,,,,松木秀彰
レビューシート,2024,91,国立公文書館の展示・運営の在り方等に関する調査検討経費,4,内閣府,内閣府,大臣官房,,公文書管理課,,,,1,独立行政法人,,,,,,内閣府/国立公文書館,坂本眞一
レビューシート,2024,96,戦略的広報経費（国内）,4,内閣府,内閣府,大臣官房,,政府広報室,,,,1,,,,,,,,中島薫
レビューシート,2024,96,戦略的広報経費（国内）,4,内閣府,内閣府,大臣官房,,政府広報室,,,,2,,,,,,,,鎌田修弘
レビューシート,2024,96,戦略的広報経費（国内）,4,内閣府,内閣府,大臣官房,,政府広報室,,,,3,,,,,,,,杉本昌英
レビューシート,2024,97,戦略的広報経費（国際）,4,内閣府,内閣府,大臣官房,,政府広報室,,,,1,,,,,,,,三角崇人
レビューシート,2024,98,国際広報経費,4,内閣府,内閣府,大臣官房,,政府広報室,,,,1,外務省,大臣官房,,広報文化外交戦略課,,,,三角崇人
レビューシート,2024,99,世論調査等経費,4,内閣府,内閣府,大臣官房,,政府広報室,,,,1,,,,,,,,永原伯武
レビューシート,2024,100,アイヌ政策推進交付金,4,内閣府,内閣府,大臣官房,,アイヌ施策推進室,,,,1,,,,,,,,藤田望
レビューシート,2024,101,政府調達苦情処理の推進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政運営担当）,,参事官（予算編成基本方針担当）,,,,1,,,,,,,,高橋洋明
レビューシート,2024,102,対日直接投資の促進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政運営担当）,,対日直接投資推進室,,,,1,内閣府,政策統括官（経済財政運営担当）,,参事官（総括担当）,,,,吉中孝
レビューシート,2024,102,対日直接投資の促進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政運営担当）,,対日直接投資推進室,,,,2,,,,,,,,遠藤幹夫
レビューシート,2024,103,道州制特区の推進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政運営担当）,,道州制特区担当室,,,,1,内閣府,政策統括官（経済財政運営担当）,,参事官（総括担当）,,,,高橋洋明
レビューシート,2024,104,民間資金等活用事業調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済社会システム担当）,,民間資金等活用事業推進室,,,,1,,,,,,,,大塚久司
レビューシート,2024,105,市民活動の促進に必要な経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,政策統括官（共生・共助担当）　参事官（共助社会づくり推進担当）,,,,1,,,,,,,,中村明恵
レビューシート,2024,106,休眠預金等活用に関する調査等に必要な経費,4,内閣府,内閣府,政策統括官（共生・共助担当）,,政策統括官（共生・共助担当）　休眠預金等活用担当室,,,,1,,,,,,,,中村明恵
レビューシート,2024,107,国内の経済動向調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,参事官（総括担当）,,,,1,,,,,,,,多田洋介
レビューシート,2024,108,国内の経済動向に係る産業及び地域経済の調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,参事官（地域担当）,,,,1,,,,,,,,木村順治
レビューシート,2024,109,海外の経済動向調査等に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,参事官（海外担当）,,,,1,,,,,,,,篠﨑敏明
レビューシート,2024,110,地方創生に向けたSDGs推進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,谷浩
レビューシート,2024,111,地方創生リーダー人材の育成・普及事業に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,竹永祥久
レビューシート,2024,111,地方創生リーダー人材の育成・普及事業に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,2,,,,,,,,西内康
レビューシート,2024,112,地方版総合戦略の推進に必要な経費,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,角田憲亮
レビューシート,2024,113,高校生の地域留学の推進のための高校魅力化支援事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,塩田剛志
レビューシート,2024,114,地域の担い手展開推進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,竹永祥久
レビューシート,2024,116,地方へのサテライトキャンパス設置等に関するマッチング支援事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,塩田剛志
レビューシート,2024,118,関係人口創出・拡大のための対流促進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,伊佐寛
レビューシート,2024,119,地方創生テレワーク推進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,竹永祥久
レビューシート,2024,121,地方創生臨時交付金効果促進事業,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,平林剛
レビューシート,2024,122,新型コロナウイルス感染症対応地方創生臨時交付金,4,内閣府,内閣府,政策統括官（経済財政分析担当）,,地方創生推進室,,,,1,,,,,,,,平林剛
レビューシート,2024,123,国家戦略特区の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,水野正人
レビューシート,2024,124,中心市街地の活性化の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,北村洋二
レビューシート,2024,125,構造改革特別区域計画の認定等に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,鷹合一真
レビューシート,2024,126,地域再生の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,平林剛
レビューシート,2024,127,地方創生応援税制（企業版ふるさと納税）普及促進事業,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,大瀧洋
レビューシート,2024,128,総合特区計画に基づく支援措置等に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,坂本弘毅
レビューシート,2024,129,総合特区の推進調整に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,坂本弘毅
レビューシート,2024,130,デジタル田園都市国家構想交付金（地方創生推進タイプ）＜（旧）地方創生推進交付金＞,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,大瀧洋
レビューシート,2024,131,デジタル田園都市国家構想交付金（地方創生拠点整備タイプ）＜（旧）地方創生拠点整備交付金＞,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,大瀧洋
レビューシート,2024,132,交付金効果検証分析事業,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,大瀧洋
レビューシート,2024,133,地方大学・地域産業創生交付金,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,塩田剛志
レビューシート,2024,134,スーパーシティ構想等の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,松平健輔
レビューシート,2024,135,総合戦略に基づく重点施策広報事業,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,八木貴弘
レビューシート,2024,136,都市再生推進経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,真田晃宏
レビューシート,2024,137,産業遺産に係る情報収集・情報発信の充実強化に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,枝慶
レビューシート,2024,138,特定地域づくり事業の推進に必要な経費,4,内閣府,内閣府,地方創生推進事務局,,,,,,1,,,,,,,,西尾利哉
レビューシート,2024,140,戦略的イノベーション創造プログラム（エネルギー分野、次世代インフラ分野及び地域資源分野）,4,内閣府,内閣府,科学技術・イノベーション推進事務局,,参事官（重要課題担当）,,,,1,,,,,,,,梅原徹也
レビューシート,2024,141,科学技術イノベーション創造推進費（健康・医療分野）,4,内閣府,内閣府,科学技術・イノベーション推進事務局,,,日本医療研究開発機構担当室,,,1,,,,,,,,臼井暁子
レビューシート,2024,142,研究開発とSociety5.0との橋渡しプログラム（BRIDGE）,4,内閣府,内閣府,科学技術・イノベーション推進事務局,,参事官（事業推進総括担当）,,,,1,,,,,,,,梅原徹也
レビューシート,2024,143,遺棄化学兵器廃棄処理事業経費,4,内閣府,内閣府,大臣官房,,遺棄化学兵器処理担当室,,,,1,,,,,,,,大塚孝道
レビューシート,2024,144,防災に関する普及・啓発に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,1,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,後藤隆昭
レビューシート,2024,144,防災に関する普及・啓発に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,2,内閣府,政策統括官（防災担当）,,参事官（復旧・復興担当）,,,参事官（事業推進担当）　復旧・復興担当主査,土屋恒久
レビューシート,2024,144,防災に関する普及・啓発に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,3,内閣府,政策統括官（防災担当）,,参事官（復旧・復興担当）,,,,
レビューシート,2024,144,防災に関する普及・啓発に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,4,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,官民連携・ボランティア担当主査,
レビューシート,2024,145,国と地方の防災を担う人材の育成に係る経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（地方・訓練担当）,,,,1,,,,,,,,立岩里生太
レビューシート,2024,146,国際防災協力の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（普及啓発・連携担当）,,,,1,,,,,,,,後藤隆昭
レビューシート,2024,147,災害復旧・復興に関する施策の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,,1,内閣府,政策統括官（防災担当）,,参事官（復旧・復興担当）,,,参事官（事業推進担当）　復旧・復興担当主査,飯沼宏規
レビューシート,2024,147,災害復旧・復興に関する施策の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,,2,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,災害救助第1担当主査,土屋恒久
レビューシート,2024,148,被災者支援に関する総合的対策の推進経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（避難生活担当）,,,,1,,,,,,,,水野忠幸
レビューシート,2024,149,地震対策等の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（調査・企画担当）,,,,1,内閣府,政策統括官（防災担当）,,参事官（防災デジタル・物資支援担当）,,,,森久保司
レビューシート,2024,149,地震対策等の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（調査・企画担当）,,,,2,内閣府,政策統括官（防災担当）,,参事官（総括担当）,,,,
レビューシート,2024,149,地震対策等の推進に必要な経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（調査・企画担当）,,,,3,内閣府,政策統括官（防災担当）,,参事官（防災計画担当）,,,,
レビューシート,2024,151,非常災害発生に伴う現地災害対策等に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（災害緊急事態対処担当）,,,,1,内閣府,政策統括官（防災担当）,,参事官（総括担当）,,,,松本真太郎
レビューシート,2024,151,非常災害発生に伴う現地災害対策等に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（災害緊急事態対処担当）,,,,2,内閣府,政策統括官（防災担当）,,参事官（防災デジタル・物資支援担当）,,,,鈴木毅
レビューシート,2024,151,非常災害発生に伴う現地災害対策等に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（災害緊急事態対処担当）,,,,3,,,,,,,,小林弘史
レビューシート,2024,152,災害対策本部予備施設等の維持管理に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（復旧・復興担当）,,,,1,,,,,,,,伊藤光弘
レビューシート,2024,153,被災者生活再建支援法施行に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,,1,,,,,,,,飯沼宏規
レビューシート,2024,154,船舶活用医療推進経費,1,内閣官房,内閣官房,副長官補付,,船舶活用医療推進本部設立準備室,,,,1,,,,,,,,藤原俊之
レビューシート,2024,155,防災計画の推進経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（防災計画担当）,,,,1,,,,,,,,吉田和史
レビューシート,2024,156,社会全体としての事業継続体制の構築推進経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（防災計画担当）,,,,1,,,,,,,,吉田和史
レビューシート,2024,157,災害救助等に要する経費,4,内閣府,内閣府,政策統括官（防災担当）,,参事官（被災者生活再建担当）,,,,1,,,,,,,,飯沼宏規
レビューシート,2024,158,原子力災害対策事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,1,,,,,,,,木野修宏
レビューシート,2024,159,原子力発電施設等緊急時安全対策交付金,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,1,,,,,,,,木野修宏
レビューシート,2024,160,原子力防災体制等構築事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（企画・国際担当）,,,,1,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,吉田大
レビューシート,2024,161,原子力防災研修等事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総合調整・訓練担当）,,,,1,内閣府,政策統括官（原子力防災担当）,,参事官（企画・国際担当）,,,,吉田大
レビューシート,2024,161,原子力防災研修等事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総合調整・訓練担当）,,,,2,内閣府,政策統括官（原子力防災担当）,,参事官（地域防災担当）,,,,児玉智
レビューシート,2024,161,原子力防災研修等事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総合調整・訓練担当）,,,,3,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,長谷弘道
レビューシート,2024,162,原子力災害時避難円滑化モデル実証事業,4,内閣府,内閣府,政策統括官（原子力防災担当）,,参事官（総括担当）,,,,1,,,,,,,,木野修宏
レビューシート,2024,163,沖縄振興交付金推進事業推進費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,1,内閣府,沖縄振興局,,参事官（特定事業担当）,,,,石田耕一
レビューシート,2024,163,沖縄振興交付金推進事業推進費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,2,,,,,,,,岡田芳和
レビューシート,2024,164,沖縄における鉄軌道等導入課題検討に必要な経費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（企画担当）,,,,1,,,,,,,,岡田芳和
レビューシート,2024,166,公立文教施設整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,,,,,,,,占部亮
レビューシート,2024,167,医師歯科医師等の派遣に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,,,,,,,,占部亮
レビューシート,2024,168,沖縄北部連携促進特別振興対策特定開発事業費,4,内閣府,内閣府,沖縄振興局,,参事官（特定事業担当）,,,,1,,,,,,,,石田耕一
レビューシート,2024,169,（建設海岸）海岸事業,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,,,,,,,,小泉誠
レビューシート,2024,170,（港湾海岸）海岸事業,4,内閣府,内閣府,沖縄振興局,,参事官（振興第三担当）,,,,1,,,,,,,,山本大志
レビューシート,2024,171,水道施設整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,,,,,,,,小泉誠
レビューシート,2024,172,廃棄物処理施設整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,,,,,,,,占部亮
レビューシート,2024,173,良好で緑豊かな都市空間の形成等のための国営公園事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,,,,,,,,小泉誠
レビューシート,2024,174,森林整備事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,,,,,,,,小林清史
レビューシート,2024,175,治山事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,,,,,,,,小林清史
レビューシート,2024,176,水産基盤整備に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,,,,,,,,小林清史
レビューシート,2024,177,農業農村整備事業に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（振興第二担当）,,,,1,,,,,,,,小林清史
レビューシート,2024,178,社会資本整備総合交付金,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,内閣府,沖縄振興局,,参事官（振興第三担当）,,,,小泉誠
レビューシート,2024,178,社会資本整備総合交付金,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,2,,,,,,,,山本大志
レビューシート,2024,179,防災・安全交付金,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,内閣府,沖縄振興局,,参事官（振興第三担当）,,,,小泉誠
レビューシート,2024,179,防災・安全交付金,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,2,,,,,,,,山本大志
レビューシート,2024,180,沖縄開発事業（道路事業）,4,内閣府,内閣府,沖縄振興局,,参事官（振興第一担当）,,,,1,,,,,,,,小泉誠
レビューシート,2024,181,駐留軍用地跡地利用推進に必要な経費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（政策調整担当）,,,,1,内閣府,政策統括官（沖縄政策担当）,,参事官（政策調整担当）,,,政策調整第１担当主査,國武正大
レビューシート,2024,182,沖縄の特殊事情に伴う特別対策に必要な経費／（沖縄振興開発金融公庫・補給金）,4,内閣府,内閣府,沖縄振興局,,参事官（調査金融担当）,,,,1,内閣府,沖縄振興局,,参事官（調査金融担当）,,,金融担当主査,鈴木啓嗣
レビューシート,2024,183,沖縄の特殊事情に伴う特別対策に必要な経費／（沖縄振興開発金融公庫に対する出資金に必要な経費）,4,内閣府,内閣府,沖縄振興局,,参事官（調査金融担当）,,,,1,内閣府,沖縄振興局,,参事官（調査金融担当）,,,金融担当主査,鈴木啓嗣
レビューシート,2024,184,沖縄のこどもの貧困対策に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,事業振興室,,,1,,,,,,,,占部亮
レビューシート,2024,185,沖縄科学技術大学院大学学園に必要な経費,4,内閣府,内閣府,沖縄振興局,,総務課,沖縄科学技術大学院大学室,,,1,,,,,,,,田中麻理
レビューシート,2024,186,沖縄北部連携促進特別振興事業費,4,内閣府,内閣府,政策統括官（沖縄政策担当）,,参事官（政策調整担当）,,,,1,,,,,,,,國武正大
レビューシート,2024,187,沖縄の戦後処理対策に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（特定事業担当）,,,特定事業第１担当主査,1,内閣府,沖縄振興局,,参事官（調査金融担当）,,,調査担当主査,石田耕一
レビューシート,2024,187,沖縄の戦後処理対策に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（特定事業担当）,,,特定事業第１担当主査,2,内閣府,沖縄振興局,,参事官（調査金融担当）,,,,
レビューシート,2024,187,沖縄の戦後処理対策に必要な経費,4,内閣府,内閣府,沖縄振興局,,参事官（特定事業担当）,,,特定事業第１担当主査,3,内閣府,沖縄振興局,,参事官（特定事業担当）,,,,
